YearWeekISO,FirstDose,FirstDoseRefused,SecondDose,UnknownDose,NumberDosesReceived,Region,Population,ReportingCountry,TargetGroup,Vaccine,Denominator
2021-W03,0,,0,0,0,AT,8901064,AT,Age<18,JANSS,
2021-W03,37,,3,0,58500,AT,8901064,AT,Age<18,COM,
2021-W03,0,,0,0,0,AT,8901064,AT,Age<18,MOD,
2021-W04,0,,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W04,2,,0,0,0,AT,8901064,AT,1_Age60+,UNK,2259262
2021-W04,0,,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W04,14212,,6619,0,54990,AT,8901064,AT,1_Age60+,COM,2259262
2021-W04,1357,,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W04,0,,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W04,4,,1,0,0,AT,8901064,AT,1_Age<60,UNK,5099181
2021-W04,2576,,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W04,13154,,10771,0,54990,AT,8901064,AT,1_Age<60,COM,5099181
2021-W04,0,,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W04,0,,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2021-W04,27359,,17368,0,54990,AT,8901064,AT,ALL,COM,7358443
2021-W04,3933,,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W04,6,,1,0,0,AT,8901064,AT,ALL,UNK,7358443
2021-W04,0,,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W04,0,,0,0,0,AT,8901064,AT,Age0_4,MOD,
2021-W04,0,,0,0,0,AT,8901064,AT,Age0_4,AZ,
2021-W04,0,,0,0,0,AT,8901064,AT,Age0_4,UNK,
2021-W04,0,,0,0,0,AT,8901064,AT,Age0_4,JANSS,
2021-W04,1,,0,0,54990,AT,8901064,AT,Age0_4,COM,
2021-W04,0,,0,0,0,AT,8901064,AT,Age10_14,JANSS,
2021-W04,0,,0,0,0,AT,8901064,AT,Age10_14,MOD,
2021-W04,0,,0,0,0,AT,8901064,AT,Age10_14,UNK,
2021-W04,0,,0,0,54990,AT,8901064,AT,Age10_14,COM,
2021-W04,0,,0,0,0,AT,8901064,AT,Age10_14,AZ,
2021-W04,0,,0,0,0,AT,8901064,AT,Age15_17,UNK,
2021-W04,0,,0,0,0,AT,8901064,AT,Age15_17,JANSS,
2021-W04,6,,22,0,54990,AT,8901064,AT,Age15_17,COM,
2021-W04,0,,0,0,0,AT,8901064,AT,Age15_17,AZ,
2021-W04,0,,0,0,0,AT,8901064,AT,Age15_17,MOD,
2021-W04,0,,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
